Local Authority Name	Electorate	Number of Votes	Yes	No	Rejected Papers 	Estimated population (2013)	Estimated Males (2013)	Estimated Females (2013)	Area (square km)	Population density	Council expenditure per capita (£)	Total Population SAPE 2010	Best-fit Working Age Population	Overall SIMD 2012 Score	Overall SIMD 2012 Rank	Income domain 2012 rate	Number of Income Deprived People 2012	Income domain 2012 rank	Employment domain 2012 rate	Number of Employment Deprived People 2012	Employment domain 2012 rank	Health domain 2012 score	Health domain 2012 rank	Education Skills and Training domain 2012 score	Education Skills and Training domain 2012 rank	Housing domain score	Housing domain rank	Geographic Access domain 2012 score	Geographic Access domain 2012 rank	SIMD Crime 2012 score	SIMD Crime 2012 rank	Working age people with no qualifications	People aged 16-19 not in full time education	Proportion of 17-21 year olds entering higher education 	Pupil Performance on SQA at Stage 4	School Pupil Absences 
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	762	509	37.42571077	1079	23	175	1223	20	100	1404	1.338593764	387	0.858918215	1183	28.51351351	1221	9.899694849	4340	703	1022	152.96	15.625	5.83	134	8.8
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	856	480	15.03469061	3608	8	70	4053	8	40	4037	0.064024289	3033	-0.605562546	4806	10.33653846	4797	45.79827907	761	440	2133	56.47	4	9.22	194	5.4
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	593	353	2.770818387	6394	4	20	5752	3	10	6042	-0.919947885	5538	-1.508241476	6251	2.94599018	6272	8.915040897	4539	0	5806	28.34	3	17.98	224	3.9
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	867	521	48.04169534	571	25	215	1003	25	130	789	1.49528254	267	1.350062445	393	28.96461337	1198.5	28.24043618	1739	723	964	176.92	14	0	127	10
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	517	365	6.614784808	5526	4	25	5375	5	20	5512	-0.950620695	5606	-0.38110479	4222	19.92687386	2310	4.176837865	5547	596	1399	46.67	0	0	123	4.8
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	764	406	3.97155787	6182	2	15	6353	2	10	6355	-1.527091661	6305	-1.82543681	6417	1.688311688	6418	35.68555813	1243	101	5434	21.41	0	20.22	218	3.4
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	917	609	4.292794582	6103	3	25	6106	5	30	5469	-0.741618963	5173	-1.903404659	6440	10.56105611	4738	16.3571481	3191	176	4427	28.62	0	25.23	259	3.8
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	871	696	27.52628348	1818	14	120	2782	17	115	1964	1.199765366	530	0.155239504	2812	49.57160343	348	0.363492834	6447	1104	369	87.45	17	5.73	162	6.4
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	1263	1015	3.899903994	6197	2	20	6399	2	20	6444	-0.572238021	4771	-1.19257635	5930	19.23913043	2448	15.24976838	3369	252	3572	31.25	0	9.04	200	4.2
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	775	573	6.568627468	5541	6	45	4887	4	20	5874	-0.287628959	4008	-0.873045554	5441	27.53779698	1314	3.334812972	5735	368	2604	38.83	8	9.32	225	5.3
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	938	584	2.561128575	6424	1	15	6418	2	10	6392	-0.976464965	5645	-1.642590952	6325	5.303030303	5842.5	14.49139483	3504	201	4129	24.34	2	19.17	247	4.3
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	947	607	37.62637445	1063	21	195	1460	16	95	2138	1.386744504	340	1.114417642	696	25.75431034	1504	21.46749346	2495	1057	409	120.11	9	0	109	10
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	782	529	2.410804646	6441	1	10	6431	3	15	6209	-0.826353274	5358	-1.466633795	6221	16.77675033	3021	6.795030736	5003	166	4572	25.54	2	10.48	249	4.4
